,acceptability,sentence
3487,1,The room contains few armchairs.
4207,1,All of the plant virus web sites have been conveniently collected in one central location.
6256,1,Robert knows that it is essential to be well behaved.
3783,1,John put books in the box.
2004,1,I sent the bicycle from my house at the beach to my house in the mountains.
6017,1,Sylvia will be slapping Jeff upside the head in martial arts class.
7048,1,She's gone and ruined her dress now.
253,1,"The more pictures of him appear in the news, the more likely John is to get arrested."
2888,0,The child and her mother clung.
3878,0,The defendant denied.
1779,1,Willy is taller than Bill by as much as Joe is taller than the Dan.
3992,0,They want to are kind to her.
1451,0,The cages which we donated wire for the convicts to build with are strong.
964,0,John tries to meet not Mary.
5872,1,Jennie smiled.
312,1,John could not visit Sally.
7723,0,There arrived by Medea.
6855,1,It is to the best students that he gives this book.
4922,0,The person with who we were talking left.
5246,0,Absolutely an owl hunts mice.
6751,0,"Because did Marianne love Willoughby, she refused to."
3741,0,"With their teacher, the kids have arrived safely, hasn't he?"
7580,1,She considers John proud of his work.
4551,1,Springfield would have built a police station with the federal grant.
1766,1,The sofa was longer than the desk was long.
6746,1,Although Mr D'Arcy disliked Mrs Bennet he married Elizabeth.
6957,1,Real play Valencia next Sunday.
510,1,The electrode emitted ions into the medium.
6517,1,The man that chased Fido returned.
3516,1,He washed me.
2176,0,The answer knows easily.
1319,0,Which boy and the girl embraced?
6046,0,Heidi investigated John ate the cauliflower.
5667,1,The dastardly surgeon stole the physician's lunch.
6000,1,I should not eat plums.
4397,1,Fred must have been singing songs and probably was drinking beer.
4873,1,the student who everyone likes left.
3871,0,John put his gold to be under the bathtub.
867,0,"Mary claimed that would eat cabbage, Holly."
5140,0,It is Kim on whom Sandy relies on.
5682,1,We keep those censored copies of the book hidden to protect the sensibilities of the prudish.
7371,0,The hiker will reach the top of the mountain for an hour.
5446,0,He's more reliable a man.
1353,1,Which Greek authors does he have books by?
2145,1,Margaret cut the bread.
979,1,John bought the picture of himself that Bill saw.
4282,1,Sandy tried to eat oysters.
5234,1,He bought a Honda.
730,1,This book cost $10.
4765,1,That arrows don't stop in midair is captured by this theory.
2645,1,Carla shoveled the snow from the walk.
6079,1,The tuna will have been eaten.
3210,1,I buzzed the bell.
2572,1,I lifted the books to him.
6524,1,How suspicious was Mary?
2289,1,David constructed a house out of.
3552,0,He treats John very kind.
6315,1,Alexandra wants to catch a fish and Sylvia does too.
4898,1,The teacher set us a problem the answer to which we can find in the textbook.
6358,1,Any student must work hard.
1778,1,John is taller than Bill by that much.
6638,1,Into the room sauntered Jeeves.
7198,1,It was Ann who bought a first edition of Richard III for $1000.
2341,1,Mira blamed Terry for the accident.
1613,1,Ronald scoffs at the belief that he would run if nominated.
6033,1,What did Calvin eat?
4233,1,All of his wealth come from real estate investments.
5574,1,The robot kissed itself.
6183,1,What do you think Matt kissed?
4650,1,The model resembles Kim in nearly every detail.
1402,1,Advantage will be taken of his offer.
1993,1,That anybody ever left at all is surprises me.
4319,0,John seems to be a fountain in the park.
3777,1,This map is what he wants.
2260,1,Martha slowly descended the stairs.
3378,1,The horse jumped over the stream.
6114,1,You walk.
6603,1,"I've been wondering whether, but wouldn't positively want to state that."
33,1,Bill bled on the floor.
7201,0,It is before tomorrow that this girl in the red coat will put a picture of Bill on your desk before tomorrow.
6447,1,Mary didn't pick any of the flowers.
7673,0,John convinced it to be obvious that Bill left.
3035,1,Bill married Kathy.
7554,0,I heard John's criticism of myself.
6882,1,Bill went to London on Monday.
4625,0,They believe Stephen to be easy to annoy Ben.
4757,0,Who did Kim work for and Sandy rely on Mary?
7364,1,I saw John with a telescope.
1641,0,I brought a razor to shave himself with.
820,0,John wagered a stranger to have been in that haunted house.
7277,0,For he to win the race would surprise them.
6018,1,Sylvia could be slapping Jeff upside the head in martial arts class.
7904,1,Gilgamesh is not reading the cuneiform tablets.
6811,1,Jane and Elizabeth were both at home.
3067,0,Ellen talked for Helen to come.
1681,0,What that he was wearing is certain is this hat.
883,0,"Lilly decided eating cabbage, to be."
2010,1,Fred kicked the ball behind the tree.
7408,0,It is readable of the paper.
4522,1,They wouldn't leave soon.
6307,0,Which language do you want to hire someone who speaks?
2163,1,Jean moved the table.
6253,1,Jean is reluctant.
4831,1,How carefully have you considered your future career?
6856,0,It is the best students he gives this book.
2725,0,We contributed her with our paycheck.
6215,1,What is it likely for Beth to have bought at the supermarket?
4715,1,They paid a lot of attention to the matter.
2818,1,Paula swatted the fly with a cloth.
7742,1,He looked up the number.
3600,1,A tall boy threw the ball.
3380,1,The horse jumped into the stream.
6500,1,Every who read anything passed.
2744,0,Carmen bought Diana of a dress.
5078,1,It was then that he felt a sharp pain.
1575,1,If he sees one; he'll bring me a hot dog.
141,0,"It is important for the more you eat, the more careful to be."
89,1,"John coughed awake, rubbing his nose and cursing under his breath."
7376,1,even the student left.
8214,0,The owl hated the evil and the wise eagle.
417,0,John tries him to win.
6372,1,A soldier should be prepared to die for her country.
611,1,John tapped some wine from a barrel.
1028,1,Most guests will be offended if we don't invite some philosopher.
3866,1,The ice melted.
2413,1,"The contractor will build you a house for $ 100,000."
3696,1,I am anxious that you should arrive on time.
5403,0,More of a man is here.
6521,0,The man who I think that chased Fido returned.
4166,1,We listened to as little of his speech as possible.
1224,1,"The money which I will have a chance to squander amounts to $400,000."
7842,1,Who showed what to who?
1209,1,I believed the claim that Otto was wearing this hat.
1895,1,There is a blemish on the end of Jerry's sister's nose.
7656,0,John promised Mary to control herself.
4300,1,Stephen believed the cat to be out of the bag.
2911,1,This flyer differs from that flyer.
7671,1,John believes it to be obvious that Bill left.
3040,1,Wanda taught French to the students.
3497,0,"Despite of his limited educational opportunities, Abraham Lincoln became one of the greatest intellectuals in the world."
5156,1,It was with a great deal of regret that I vetoed your proposal.
3174,0,The horse groomed itself.
2255,1,Martha climbed the mountain.
4565,1,The roof is leaking.
1038,1,Everyone attended some seminar.
4017,1,Monkeys are eager to leave.
6966,1,The vase was smashed deliberately.
2705,0,Amanda drove at the package.
8231,0,We kicked us
2674,0,Books send easily to children.
6750,1,Write a letter to Anne Elliott.
3705,1,He talked to a girl about swimming.
3545,1,They read the scientific book.
6708,1,Frank Churchill gave a piano to Jane Fairfax.
7249,1,I doubt if she kicks perfect goals every time.
5625,1,Don't hit yourself!
7018,1,Pat became a republican and quite conservative.
7520,1,Each of our rabbit and the neighbor's cat likes the other.
3770,1,This is my ultimate goal.
2633,1,The strong winds cleared the skies.
6498,1,John didn't see anything.
1409,0,Hold has been gotten of some rare old manuscripts.
4249,0,I washed yourself.
971,1,"I did, as Bill had thought, go to the store."
2625,1,The king banished the general to a mountain fortress.
4369,1,We persuaded them to examine themselves.
871,0,"Mary claimed that have eaten cabbage, Holly should."
4113,1,Aloe may have an analgesic effect on inflammation and minor skin irritations.
5641,1,The king loved peanut butter cookies.
6494,1,Is there someone who can pledge $1000?
8355,1,That I am here proves that I care.
3858,1,The students all enjoyed that summer.
5352,1,You and I are as much alike as a horse and a cow.
2394,1,The sun dried the clothes.
4440,1,John can have danced.
3110,1,Cynthia devoured the pizza .
1835,1,"They spoke to the janitor about that robbery yesterday, the cops."
7775,1,I often have eaten muffins.
3026,1,We rummaged in the drawer for important documents.
2518,1,Fanny pulled the blanket over her.
6515,1,how many have you given of these books to these people.
8302,1,Anson thought Julie had fainted
8467,1,Under the bed is the best place to hide
6207,1,What did Jean think was likely to have been stolen?
3104,1,Cynthia nibbled at the carrot .
6351,1,John talked to any woman who came up to him.
5301,0,John ate after getting home the steak.
8525,0,The owl hated the and loved the bat.
2069,1,To whom did you throw the ball?
4450,1,John does not like this town.
81,1,Bill squeezed the puppet through the hole.
6647,1,What this parcel is is very heavy.
840,0,John wanted to leave the room happy and leave the room he did happy.
2334,0,The jeweller decorated the name on the ring.
3101,1,Cynthia ate the peach with a fork.
6429,0,Yesterday John talked to any woman.
4572,0,"John seems fond of ice cream, and Bill seems, too."
1678,0,This hat the gloves and were on the table.
3458,1,much equipment is needed.
1452,0,What kind cf parakeets are they investigating all people owning?
3765,1,The publisher sent a review copy of the book to her.
5341,1,I am more angry than sad.
6314,1,What does Calvin like.
7722,0,Gilgamesh not left.
1637,0,"When I am awake at that time and Susan is asleep, Bill will leave."
2281,0,Helen wiped the wall of fingerprints.
3224,1,The Romans destroyed the city.
7641,1,Everyone hopes that everyone will sleep.
4449,1,Have you enough money?
2134,1,Monica covered the baby with a blanket.
406,1,Bill works with him.
5346,1,Mary is shorter than five feet.
6954,1,Tess knocks at the door.
5488,1,Mary is such a wit that people are afraid of her.
8209,1,Gilgamesh did not fly the dragon.
6152,0,Louis was sent a book to.
4176,1,Each of the suggestions is acceptable.
6335,1,Heidi saw drawings of her.
6338,0,John loves Mary's pictures of himself.
6519,0,The man I think that chased Fido returned.
2405,1,I incorporated the new results into the paper.
2857,1,This knife cuts well.
3435,0,Kim fond of Lee.
4861,1,This needs mending.
2632,0,Doug cleared at the table.
3575,1,Students wanted to write a letter.
1260,1,I know two men who are behind me.
6531,1,Who do you think saw you?
3606,1,"The tall, handsome man kicked the ball."
5271,1,That he has blood on his hands proves that John is the murderer.
